BJD RV eRV
2452939.65426326 8078.5572021793705 0.38528406484888
2453204.90291492 8078.361198215641 0.358067888624322
2453336.59042941 8076.77572557478 0.453985691734935
2454048.60352054 8097.082894841069 0.381908688553064
2454050.61654851 8102.9509227407 0.349330037670475
2454054.65330882 8100.475155994699 0.285833934020039
2454080.58868917 8098.2331739233705 0.300773524702027
2454082.58034729 8104.8449639827995 0.301330531393623
2454299.91170026 8116.0675529583805 0.330648309925836
2454764.61938043 8113.90500475118 0.719737658495418
2454764.62532916 8113.52736203075 0.9216261681279
2454776.55521392 8109.59042125261 0.342977003854451
2454807.56952597 8112.56805644538 0.343811697385481
2454807.57499998 8112.11749565004 0.357117781482478
2455036.87731699 8127.7099129383005 0.327334545160497
2455037.87168678 8128.89004489346 0.246007943360854
2455064.79972768 8133.926548359281 0.250905143576141
2455069.83853737 8132.290533031959 0.332049619734547
2455073.74376932 8130.10773517242 0.490194508997926
2455073.74926717 8130.501838499659 0.507853090953244
2456624.51586381 8126.12709530524 0.273375898395961
