Time RV eRV BIS FWHM Contrast
53295.51709752 -4.79131382 1.01826206 -59.37413386 6728.41173129 53.65389991
53295.51815541 -0.38411426 1.01935763 -55.56826970 6727.60590561 53.65044691
53295.51919249 -3.38382394 0.95485139 -58.37727801 6723.32193588 53.66513884
53297.50777757 0.43180339 1.16223093 -55.41102625 6723.88675146 53.60835495
53297.50882763 3.41734585 1.18120680 -54.10995706 6729.13056663 53.58037800
53297.50988842 1.28022303 1.11615330 -57.03860990 6730.83241125 53.59327856
53297.51096311 1.27585134 1.11476974 -56.62967501 6728.63806786 53.61517397
53297.51200307 0.42800302 1.10119739 -60.04622812 6733.47897351 53.58453397
53297.51307544 0.66977847 1.04856610 -59.52760113 6722.90332241 53.60571330
53297.51412475 0.03371569 1.00286553 -60.74764671 6726.07987374 53.62615495
53297.51515815 1.25913054 1.03023098 -55.90689571 6725.50572227 53.60550241
53297.51622172 1.82890943 1.06776039 -57.73411624 6725.08215773 53.61761742
53297.51730010 -0.36767248 1.05324703 -57.95801673 6729.57759175 53.59250218
53297.63553649 0.45234476 1.56203974 -58.20064323 6728.06790860 53.60206425
53297.63658248 -0.96897246 1.42509855 -55.14758633 6724.38955508 53.64686812
53297.63763714 0.76270902 1.52605534 -63.08567223 6728.07959583 53.61605891
53297.63869227 1.99165763 1.59309206 -62.66088938 6723.99718277 53.65201854
53297.63976220 2.93658632 1.44142716 -56.93606709 6730.74648391 53.58761032
53297.64081906 -0.10653410 1.53207269 -53.65271887 6726.91929157 53.62375307
53297.64185613 0.99199868 1.72890926 -62.47105563 6728.36169010 53.63600900
53297.64298147 0.53538908 1.54475156 -60.25725276 6733.77404250 53.59088184
53297.64404761 2.44911542 1.48075324 -57.33102880 6726.51640913 53.57988679
53297.64509430 3.68515881 1.72704148 -57.51689857 6726.41821249 53.60341241
53298.51543890 2.76816586 1.20684196 -59.34878179 6734.27643805 53.58814576
53298.51655072 8.79567130 1.33976383 -60.59811860 6731.77919524 53.59115004
