Time RV eRV Halpha NaD1 NaD2 BIS FWHM S-index C3AP2-1 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8
55278.734302 -28.360655910824 4.49121969624503 0.886947338481407 1.07003878190867 0.793679204409646 11.705275 6.27192594 0.218270132427668 0.48965023557592 323.581527659196 -184.614120652521 197.087908902662 138.533586218635 56.466493847303 -108.215242409299 -199.881922296105 71.99508124256 194.249303845503 93.125788703187 -24.986925189972 116.450954936986 -109.124938917041 -127.873120916876 -186.115488001456
55278.735066 -19.2382419778111 4.48409677313067 0.887882899581184 1.07132468030491 0.79388905338886 10.36632 6.272387585 0.218364709743672 0.48965023557592 318.982884570038 -151.083836368892 204.748313795366 122.333463442051 67.594444546263 -124.76386899384 -117.126931782792 69.2057378617139 205.669180543858 82.138768197754 -39.703824468435 141.889796898539 -131.653000689293 -91.960287196699 -130.585455603445
55278.735841 -23.0686051231162 4.49234711997619 0.887882899581184 1.07132468030491 0.79388905338886 11.701253 6.274098904 0.218469469333991 0.48965023557592 310.062956201447 -165.433753437896 205.132778297928 114.781191871405 64.689851126125 -109.240804576668 -170.884171707079 66.582864949508 213.993371480833 75.988417579218 -51.808966084842 140.550660682024 -122.796395559569 -118.245878291061 -130.276112102752
55278.736617 -21.1184040920032 4.48158662932799 0.88781333943635 1.07226776877233 0.79273560828058 11.777746 6.272290809 0.218080516833411 0.48965023557592 311.918229712894 -156.560417164248 201.647747830821 116.749350805359 69.109454790532 -130.39004333202 -118.273790638267 72.475948785655 202.698262069458 76.687924069215 -39.684839706861 137.426911406881 -135.089608301122 -94.192785500263 -122.67479607161
55278.737381 -27.2846026479366 4.48170497901326 0.887163641092453 1.07142579585533 0.792560385649473 10.814002 6.273829708 0.218601443851853 0.48965023557592 313.895658545809 -163.190480446125 197.860385265809 121.419742387006 69.666403056635 -130.457106692534 -131.382140694142 66.7206864933299 195.240467268299 93.283523289582 -51.938592047366 148.346487395841 -136.515153736099 -117.074551611174 -99.790312831851
55278.738156 -13.7719445840751 4.47942140296572 0.886933845513573 1.07159706734557 0.793629274071327 11.541768 6.274382041 0.218494222717332 0.48965023557592 313.038912183111 -122.854234516682 197.2070438267 126.915289796391 57.501493631806 -105.334552982706 -89.997544469082 68.403461492604 193.502895556947 95.044070940462 -47.317314849998 131.534369322546 -107.841048007327 -60.772124384205 -153.184850957395
55278.73892 -15.5822306501519 4.47910031512169 0.888125802863035 1.07162588355538 0.793516355052238 12.339587 6.270553753 0.217871776907649 0.48965023557592 319.187104596635 -131.660941797428 195.243600806771 133.073794567592 60.874919527158 -105.687047346505 -109.426424792563 69.3172807794621 193.191989806403 94.857038445761 -36.72098315899 128.296653718787 -113.799048542364 -62.857924473621 -161.810064258555
55278.739696 -18.319581387878 4.47858905176504 0.887902542592964 1.07196249741262 0.793413508292127 11.821342 6.273022309 0.219161435067581 0.48965023557592 317.128998906304 -134.164242680314 192.584884521887 127.95045567961 71.733513202463 -102.188798117144 -131.648422467341 74.569179132276 185.331981048946 92.910538372901 -36.175875566594 139.587839647671 -113.05733093577 -107.931304823581 -98.525995682405
55278.74046 -15.6442954948491 4.49117600336227 0.886552580352417 1.07184016030004 0.792686677547062 11.166906 6.272013076 0.219051770386278 0.48965023557592 315.73401829998 -144.893468130321 205.611408003545 121.50536101226 60.717412347521 -118.037331222698 -112.231032588207 67.743417690153 208.007738012169 87.881550074362 -59.181797322751 148.976918311787 -123.657190730454 -104.617914922683 -104.999947319728
55278.741235 -19.8978235969495 4.48204496564281 0.886548738845814 1.07079976070265 0.79355346908712 11.736309 6.274430828 0.219450090086995 0.48965023557592 322.643520136362 -151.527612861327 197.803079971171 131.388156515738 67.696960684183 -121.462119635957 -123.74812350914 76.155866239208 189.815520534242 93.361242983667 -36.895548412842 142.838081132201 -127.134117129171 -96.079316295129 -140.052997916997
55278.742011 -19.7364745395349 4.477371621329 0.886049692941027 1.07224960845993 0.793950836919132 12.325076 6.272515134 0.217521014257402 0.48965023557592 324.209412752928 -149.852809751839 198.62832446938 130.810341363268 70.585451298614 -120.642486891435 -125.11365046018 70.18650064262 195.275338198092 98.056689495222 -42.570766153386 139.306139908232 -128.544879535056 -98.657135280456 -111.866022125919
55278.742798 -25.0804340546805 4.48424707226771 0.885833145180464 1.07174040354904 0.793536312703397 11.521295 6.271208685 0.219330564513334 0.48965023557592 316.298577760835 -165.865065090135 206.648527992915 123.371925371503 56.521672699701 -109.989627277436 -161.115244727563 64.369095400183 211.772020504289 87.801410011421 -59.752199884482 148.011928294358 -122.068065852424 -95.916443294499 -186.614761445281
55278.743573 -16.6885522845533 4.48425629378559 0.884802583116692 1.07109684210899 0.793814664730356 11.951713 6.273046407 0.218572581039639 0.48965023557592 326.892432164615 -161.034042131203 208.430599653626 134.45356503941 52.288274836334 -116.057318400813 -136.783923489045 71.354390393261 207.359405993086 89.127197073172 -36.008803711814 126.390954070136 -117.131579146854 -121.337885115601 -112.11167298746
55278.744337 -23.3280282697058 4.47672613637101 0.884377890280054 1.07177036388336 0.793611318855259 11.671645 6.274370793 0.218694697650524 0.48965023557592 314.925365834785 -167.777237069645 200.597139186547 119.010460431214 72.660976743624 -125.146345519409 -151.682079768612 59.692365064435 207.271302450201 86.820612313601 -45.022677085764 136.940471110242 -132.419225305926 -99.667834132511 -142.68530170305
55278.798114 -10.0783807301543 4.48715508128456 0.886549687229791 1.07177232764619 0.793812556845425 10.978927 6.273356573 0.218759652587783 2.67301094025365 317.737436342349 -120.833811038844 197.486354891091 128.893410847108 62.793893544914 -80.751431095496 -136.720343971913 64.710319192483 198.038006850027 104.335832569369 -62.618938480075 143.447363754575 -112.180082285103 -59.038629204486 -145.607155022064
55278.798889 -17.191325371659 4.48689566656454 0.886425257359252 1.07162176909659 0.792552817587378 12.224856 6.273671562 0.217919620630157 2.67301094025365 318.008773604184 -150.043622740231 201.035367684405 128.222570416557 59.207718443159 -85.745046733663 -177.707829363574 67.9292026869661 197.954007527698 92.607021963032 -37.590622806836 123.611500163614 -113.895637619333 -53.766627078748 -222.73089257101
55278.799665 -24.7487096839251 4.47255346826665 0.885502705595514 1.07125812236256 0.793147747528289 11.963778 6.275032811 0.218607687492657 2.67301094025365 313.290236109141 -157.748058368641 193.07901822188 124.353747636702 70.625187793743 -111.488703270569 -156.103500839105 61.984746242248 196.244962736028 96.631036932794 -46.886167338079 130.467278898487 -105.82891767611 -92.37455348524 -193.48018958322
55278.800429 -13.3988538884824 4.48825745158868 0.887460096122789 1.07150268887859 0.794026618057555 12.12579 6.273873948 0.218405003269075 2.67301094025365 319.064917387178 -126.323119554671 189.866364040159 139.367626660611 56.76609758037 -84.640014498577 -133.730904786797 71.981172355383 176.803990483346 110.344267050986 -42.172472315865 132.15983764149 -120.374936267332 -42.86063982904 -168.79587411124
55278.801204 -18.3950268173417 4.48197910272859 0.887956713714289 1.07165874079114 0.794312798216357 10.908404 6.274629554 0.21753577998866 2.67301094025365 314.607610230439 -141.304550468068 190.022599367977 129.946199298306 67.039096493495 -75.074237406266 -188.769125293057 68.206729630498 180.478062370803 104.630756912424 -40.845898005355 130.201267893497 -97.942959907055 -75.875900673723 -208.619330708153
55278.80198 -19.2425300825319 4.48694945076776 0.887653932076554 1.07128313021075 0.793815993463173 12.129541 6.274448414 0.217643129265674 2.67301094025365 325.976668838765 -156.591583021129 199.519243915055 136.943063450421 60.057174997556 -93.564136590148 -176.290717328476 74.381234592576 194.657301176748 103.667417784154 -49.236289859721 136.190540356397 -128.723018866839 -55.201660194209 -208.907922512901
55278.802755 -18.2696497346623 4.49725878421494 0.887979693681911 1.07145741728807 0.793978571563548 12.515276 6.275125083 0.217821088180005 2.67301094025365 321.595909510235 -149.737642357579 191.239426018967 139.45414569788 60.384608518795 -89.26674927031 -171.645435860495 70.381812587195 180.043626647642 106.952252980553 -36.500699319309 134.847902249451 -127.682960505576 -55.345462765775 -201.976485052856
