Time RV eRV BIS FWHM Contrast
52942.82232599 10.10056375 0.41409466 -45.38432841 6273.79893085 63.46616433
52999.74802926 -1.85335790 0.78678426 -45.33584545 6267.33727375 63.57823056
52999.77789200 -1.24128789 0.70494195 -45.21155244 6268.38726872 63.55198364
53000.76130724 2.03767171 0.67467936 -44.23338655 6270.41544664 63.57460687
53001.66919836 3.84744318 0.70006325 -45.86411005 6269.37961605 63.56793839
53002.66937737 3.38753542 0.55239330 -46.39229885 6269.51997862 63.57481285
53054.59190011 -1.79957660 0.66176314 -45.70431190 6268.87924760 63.53572923
53692.71396972 0.39373189 0.63096653 -49.04632682 6263.17220247 63.47481095
53692.71639373 0.54888121 0.60373623 -44.75023372 6259.27384703 63.48991044
53692.71877488 0.06472974 0.62679307 -46.81892379 6259.08616923 63.50841865
53692.72128638 0.31150979 0.60344560 -47.70043678 6262.13739066 63.47992169
53692.72375469 -0.58091574 0.58360568 -47.20161030 6260.28715388 63.48175920
53692.72615241 1.08420830 0.58338511 -45.08719591 6259.20737250 63.49457953
53692.72857107 -0.03975040 0.58299079 -46.91206683 6260.31282035 63.48450046
53692.73104090 0.60726769 0.56877863 -46.47950163 6258.95169107 63.49919835
53692.73348283 0.12169068 0.58528238 -46.98697365 6258.49114116 63.49476552
53692.73588169 2.32427256 0.58786330 -45.45259492 6257.63731311 63.50581334
53692.73836495 0.79370620 0.60854522 -47.90120923 6259.84190865 63.49179504
53692.74083605 1.05539008 0.60545512 -46.16551259 6257.75623311 63.48924512
53692.74325703 0.71716069 0.61121284 -47.47917762 6261.70291751 63.49902330
53692.74570867 0.20746039 0.62740126 -47.09048572 6260.72682597 63.49973216
53692.74810547 -1.11250543 0.55220616 -48.00460767 6258.90452451 63.50214244
53692.75056661 -0.80434892 0.55506415 -45.92128145 6261.61538360 63.48550314
53692.75301293 -0.53973042 0.54310742 -46.15846552 6256.26809244 63.49570904
53692.75442365 -64.77128554 79.89707968 -174.80360986 6235.96750452 78.87057104
53693.61916823 -0.85966867 0.70398772 -44.45043076 6261.60595588 63.48524617
53693.62090349 -0.23504527 0.70309503 -48.85959347 6261.22944216 63.50903511
53693.62265669 -0.39234477 0.72388948 -46.58099171 6260.13266804 63.50367815
53693.62446036 0.28390078 0.75828137 -48.22023263 6262.73127815 63.48880746
53693.62618438 0.27400381 0.75427309 -43.30231197 6260.78928904 63.49221578
53693.62791860 0.12401738 0.75634375 -47.35984236 6257.31964749 63.51436653
53693.62965130 1.46443688 0.77560176 -49.03507993 6265.94547180 63.47753855
53693.63142199 -0.31623869 0.74237212 -48.95962329 6261.95723081 63.50868270
53693.63315366 0.02034537 0.72200209 -44.85175898 6260.41363266 63.48819847
53693.63488706 0.05313488 0.69405693 -46.43817163 6261.70737662 63.50727318
53693.63663182 -1.10954291 0.71874896 -45.94353757 6261.48437762 63.50700198
53693.63836996 0.71257521 0.76176996 -46.99852679 6260.82258184 63.48846113
53693.64014366 0.00000000 0.79382505 -41.42866439 6263.29153007 63.50463454
53693.64188006 -0.42275317 0.77860873 -49.88977954 6259.67249567 63.49635202
53693.64365409 0.59946484 0.72181377 -46.51910593 6257.20340752 63.51361426
53693.64537222 0.44999721 0.73130062 -45.89805445 6260.67411944 63.50114328
53693.64710701 -0.37851492 0.74173703 -45.82907042 6258.74543878 63.49668243
53693.64886427 0.30650091 0.78602645 -44.22803624 6264.49483602 63.49305908
53693.65061710 0.36698900 0.85944811 -47.59021129 6262.59419918 63.51972407
53693.65234623 -2.01614590 0.91209940 -46.33896137 6266.02966628 63.50440251
53693.65413739 -0.12252526 0.94861507 -46.50229305 6263.13302129 63.50374252
53693.65586953 -0.90185965 0.93328092 -48.85064479 6262.08706175 63.51748226
53693.65762644 -1.96531745 0.91863195 -45.96609354 6267.42778781 63.48152275
53693.65936886 1.41971507 0.86588290 -46.21774016 6265.45441663 63.49878821
53693.66110424 0.56392704 0.84727274 -47.13362202 6265.38797321 63.49185155
53694.71520131 2.88475230 0.52260433 -45.75284856 6261.28348656 63.45393882
53694.71912950 1.98187614 0.54131604 -44.10840531 6263.16036668 63.46004094
53694.72295944 2.00012805 0.52549312 -47.54762270 6262.51001810 63.44123315
53694.72673044 2.50364549 0.55935138 -48.32562432 6259.77878800 63.47479097
53694.73066442 1.29278081 0.54747471 -47.78781122 6261.26781448 63.47920825
53694.73450892 2.59357754 0.55398423 -45.08091745 6261.50849520 63.47392135
53694.73835459 1.80259340 0.56786667 -47.61813750 6259.72162759 63.48537614
53694.74200963 1.23322297 0.64432623 -45.88674657 6265.34014730 63.46764688
53694.74597531 1.42765831 0.74626506 -45.93438123 6261.51864916 63.51521238
53694.74980525 0.70645469 0.70121311 -45.40146558 6258.35327103 63.50546331
53695.68512355 3.09202924 0.39662734 -45.41570894 6259.11084456 63.47887385
53695.68891598 3.29376531 0.40121646 -44.61095682 6255.08665225 63.48826675
53695.69275770 2.73603662 0.40388939 -46.07844392 6257.83341649 63.47644468
53695.69666900 2.76572436 0.40812942 -47.16100086 6260.03537262 63.48737805
53695.70046733 2.12213311 0.39052977 -46.05196906 6256.33290952 63.49962784
53695.70425186 3.02507479 0.38645657 -46.46405929 6256.12790460 63.48991493
